,anime_name,anime_genre,character_name,character_mbti_type,Characters Kept,Apple TV,Youtube,Rating (IMDb),Message
0,Naruto Shippuden,Shounen,Sasuke Uchiha,ISFP,x,,,8.7,Change all anime names to english
1,Naruto Shippuden,Shounen,Naruto Uzumaki,ENFP,x,,,8.7,
2,Naruto Shippuden,Shounen,Madara Uchiha,ENTJ,x,,,8.7,
3,Naruto Shippuden,Shounen,Itachi Uchiha,INFJ,x,,,8.7,
4,Naruto Shippuden,Shounen,Sakura Haruno,ESFJ,x,,,8.7,
5,Naruto Shippuden,Shounen,Obito Uchiha,ENFP,x,,,8.7,
6,Naruto Shippuden,Shounen,Kakashi Hatake,INTP,x,,,8.7,
7,Naruto Shippuden,Shounen,Shikamaru Nara,INTP,x,,,8.7,
8,Naruto Shippuden,Shounen,Rock Lee,ESFJ,x,,,8.7,
9,Naruto Shippuden,Shounen,Nagato,INFP,,,,8.7,
10,Naruto Shippuden,Shounen,Hinata Hyuga,ISFJ,x,,,8.7,
11,Naruto Shippuden,Shounen,Konan,INFJ,,,,8.7,
12,Naruto Shippuden,Shounen,Orochimaru,ENTP,,,,8.7,
13,Naruto Shippuden,Shounen,Temari,ESTJ,,,,8.7,
14,Naruto Shippuden,Shounen,Gaara,INFP,,,,8.7,
15,Naruto Shippuden,Shounen,Sasori,INTJ,,,,8.7,
16,Naruto Shippuden,Shounen,Kimimaro Kaguya,ISFJ,x,,,8.7,
17,Naruto Shippuden,Shounen,Minato Namikaze,ENFJ,x,,,8.7,
18,Naruto Shippuden,Shounen,Neji Hyūga,ISTJ,x,,,8.7,
19,Naruto Shippuden,Shounen,Hashirama Senju,ENFJ,,,,8.7,
20,Naruto Shippuden,Shounen,Tobirama Senju,ISTJ,x,,,8.7,
21,Naruto Shippuden,Shounen,Kabuto Yakushi,INTP,,,,8.7,
22,Naruto Shippuden,Shounen,Deidara,ESFP,x,,,8.7,
24,Naruto Shippuden,Shounen,Sai Yamanaka,INTP,,,,8.7,
25,Naruto Shippuden,Shounen,Ino Yamanaka,ESFP,x,,,8.7,
28,Naruto Shippuden,Shounen,Tsunade Senju,ESTP,x,,,8.7,
30,Naruto Shippuden,Shounen,Hiruzen Sarutobi,ENFJ,,,,8.7,
31,Naruto Shippuden,Shounen,Jiraiya,ENFP,,,,8.7,
32,Naruto Shippuden,Shounen,Yahiko,ENFJ,,,,8.7,
33,Naruto Shippuden,Shounen,Hidan,ESTP,x,,,8.7,
34,Naruto Shippuden,Shounen,Danzō Shimura,ESTJ,,,,8.7,
35,Naruto Shippuden,Shounen,Kisame Hoshigaki,ESTP,,,,8.7,
36,Naruto Shippuden,Shounen,Might Guy,ESFP,x,,,8.7,
37,Naruto Shippuden,Shounen,Kushina Uzumaki,ESFP,,,,8.7,
38,Naruto Shippuden,Shounen,Killer Bee,ESFP,,,,8.7,
41,Naruto Shippuden,Shounen,Juubi,ESTP,,,,8.7,
42,Naruto Shippuden,Shounen,Samehada,ENTP,,,,8.7,
43,Naruto Shippuden,Shounen,Tenten,ENFJ,,,,8.7,
44,Naruto Shippuden,Shounen,Tobi,ENTP,,,,8.7,
45,Naruto Shippuden,Shounen,Shisui Uchiha,ENFJ,x,,,8.7,
46,Naruto Shippuden,Shounen,Indra Ōtsutsuki,INTJ,,,,8.7,
48,Naruto Shippuden,Shounen,Zabuza Momochi,ISTP,x,,,8.7,
51,Naruto Shippuden,Shounen,Suigetsu Hōzuki,ESTP,,,,8.7,
52,Naruto Shippuden,Shounen,Uchiha Clan,INTJ,,,,8.7,
53,Naruto Shippuden,Shounen,Anko Mitarashi,ESTP,,,,8.7,
54,Naruto Shippuden,Shounen,Kinkaku,INTP,,,,8.7,
55,Naruto Shippuden,Shounen,Chōji Akimichi,ISFP,x,,,8.7,
56,Naruto Shippuden,Shounen,Kurama,ENTJ,,,,8.7,
58,Naruto Shippuden,Shounen,Sakumo Hatake,INFP,x,,,8.7,
60,Naruto Shippuden,Shounen,Hagoromo Ōtsutsuki,INFJ,,,,8.7,
62,Naruto Shippuden,Shounen,Chidori,INTJ,,,,8.7,
64,Naruto Shippuden,Shounen,Chiyo,ENFJ,,,,8.7,
65,Naruto Shippuden,Shounen,Hanare,INFJ,,,,8.7,
