AnimeID,AnimeName,Genre,Rating,Hulu,crunchyroll,Netflix,amazon prime
0,Naruto Shippuden,0,8.7,https://www.hulu.com/series/c6321cb1-1879-4d7f-9e2f-8d7d4fc55544,https://www.crunchyroll.com/series/GYQ4MW246/naruto-shippuden,,
1,My Hero Academia,0,8.2,https://www.hulu.com/series/b4859a95-39ba-4051-a550-256c42e70a1d,https://www.crunchyroll.com/series/G6NQ5DWZ6/my-hero-academia,,
2,Attack on Titan,0,9.1,https://www.hulu.com/series/9c91ffa3-dc20-48bf-8bc5-692e37c76d88,https://www.crunchyroll.com/series/GR751KNZY/attack-on-titan,,
3,Hunter X Hunter,0,9,https://www.hulu.com/series/4160deed-5e27-4f23-aa9a-a8e4f126e9cb,https://www.crunchyroll.com/series/GY3VKX1MR/hunter-x-hunter,,
4,Death Note,1,8.9,https://www.hulu.com/series/9065c6f1-4d2d-4150-a1ef-58bced498809,NULL,,
5,Demon Slayer: Kimetsu no Yaiba,0,8.6,https://www.hulu.com/series/d81e6428-58f1-4e2b-904b-5eb1d65d6640,https://www.crunchyroll.com/series/GY5P48XEY/demon-slayer-kimetsu-no-yaiba,,
6,Bungo Stray Dogs,2,7.8,NULL,https://www.crunchyroll.com/series/GR5VXQ8PR/bungo-stray-dogs,,
7,Tokyo Revengers,0,7.8,https://www.hulu.com/series/tokyo-revengers-1a195a35-e19c-4e36-b609-3b1c451f6ce4,https://www.crunchyroll.com/series/G3KHEVMN1/tokyo-revengers,,
8,Jujutsu Kaisen,0,8.5,https://www.hulu.com/series/382ec8bf-3650-4cde-94db-ecd18665f9e0,https://www.crunchyroll.com/series/GRDV0019R/jujutsu-kaisen,,
9,JoJo's Bizarre Adventure,3,8.5,https://www.hulu.com/series/jojos-bizarre-adventure-3f2ffb64-2424-44a5-b229-4371dccb1d6f,https://www.crunchyroll.com/series/GYP8DP1MY/jojos-bizarre-adventure,,
10,Haikyuu!!,4,8.7,NULL,https://www.crunchyroll.com/series/GY8VM8MWY/haikyu,,
11,The Promised Neverland,0,8.1,https://www.hulu.com/series/the-promised-neverland-3ef087c6-d967-4495-9730-b5ff54ded8e0,https://www.crunchyroll.com/series/GYVD2K1WY/the-promised-neverland,,
12,Neon Genesis Evangelion,5,8.5,NULL,NULL,https://www.netflix.com/title/81033445,
13,One Piece,0,9,https://www.hulu.com/series/one-piece-f5d4278b-6acb-4a63-a7a2-eab91de2611e,https://www.crunchyroll.com/series/GRMG8ZQZR/one-piece,,
14,SK8 the Infinity,4,8,NULL,https://www.crunchyroll.com/series/G5PHNM434/sk8-the-infinity,,
