CharacterID,CharacterName,MBTI,AnimeID
0,Tenya Iida “Ingenium”,ESTJ,1
1,Jean Kirstein,ESTJ,2
2,Nobara Kugisaki,ESTJ,8
3,Maki Zenin,ESTJ,8
4,Nami,ESTJ,13
5,Mary Saotome,ESTJ,17
6,Vegeta,ESTJ,20
7,Cornelia li Britannia,ESTJ,21
8,Jeremiah Gottwald,ESTJ,21
9,Nishiki Nishio,ESTJ,22
10,Nosferatu Zodd,ESTJ,23
11,King Bradley,ESTJ,25
12,Charizard (Lizardon),ESTJ,30
13,Eva Heinemann,ESTJ,31
14,Naoka Ueno,ESTJ,32
15,Erza Scarlet,ESTJ,47
16,Tsunade Senju,ESTP,0
17,Hidan,ESTP,0
18,Morel Mackernasey,ESTP,3
19,Inosuke Hashibira,ESTP,5
20,Chuuya Nakahara,ESTP,6
21,Rindou Haitani,ESTP,7
22,"Ken ""Draken"" Ryuguji",ESTP,7
23,Keisuke Baji,ESTP,7
24,Joseph Joestar,ESTP,9
25,Jolyne Cujoh,ESTP,9
26,Portgas D. Ace,ESTP,13
27,Kojiro Nanjo,ESTP,14
28,Irina Jelavić,ESTP,15
29,Yumeko Jabami,ESTP,17
30,Arisa Uotani,ESTP,18
31,Kyōko Sakura,ESTP,19
32,Juuzou Suzuya,ESTP,22
33,Isidro,ESTP,23
34,Denji,ESTP,27
35,Grimmjow Jaegerjaquez,ESTP,29
36,Kenpachi Zaraki,ESTP,29
37,Yoruichi Shihoin,ESTP,29
38,Squirtle,ESTP,30
39,Lucario,ESTP,30
40,Felt,ESTP,38
41,Bill,ESTP,39
42,Rika Kawai,ESTP,41
43,Hikaru Hitachiin,ESTP,44
44,Zero Two,ESTP,45
45,Zorome,ESTP,45
46,Dimple,ESTP,46
47,Sakura Haruno,ESFJ,0
48,Rock Lee,ESFJ,0
49,Ochako Uraraka “Uravity”,ESFJ,1
50,Historia Reiss (Christa Lenz),ESFJ,2
51,Reiner Braun,ESFJ,2
52,Leorio Paradinight,ESFJ,3
53,Hinata Tachibana,ESFJ,7
54,Hiromi Higa,ESFJ,14
55,Shokichi Oka,ESFJ,14
56,Saiki Kurumi,ESFJ,16
57,Tohru Honda,ESFJ,18
58,Shirley Fenette,ESFJ,21
59,Winry Rockbell,ESFJ,25
60,Alex Louis Armstrong,ESFJ,25
61,Orihime Inoue,ESFJ,29
62,Shouko Nishimiya,ESFJ,32
63,Miki Kawai,ESFJ,32
64,Tomohiro Nagatsuka,ESFJ,32
65,Ren Yamai,ESFJ,34
66,Makoto Kino (Sailor Jupiter),ESFJ,37
67,Kikyou Kushida,ESFJ,40
68,Max Lobo,ESFJ,42
69,China,ESFJ,48
70,Deidara,ESFP,0
71,Ino Yamanaka,ESFP,0
72,Might Guy,ESFP,0
73,Eijirou Kirishima “Red Riot”,ESFP,1
74,Katsuki Bakugo (Prototype Design),ESFP,1
75,Sasha Braus,ESFP,2
76,Connie Springer,ESFP,2
77,Gon Freecss,ESFP,3
78,Misa Amane,ESFP,4
79,Okuyasu Nijimura,ESFP,9
80,Hinata Shoyo,ESFP,10
81,Yu Nishinoya,ESFP,10
82,Don,ESFP,11
83,Conny,ESFP,11
84,Toji Suzuhara,ESFP,12
85,Monkey D. Luffy,ESFP,13
86,Ainosuke Shindo,ESFP,14
87,Koyomi Kyan,ESFP,14
88,Tomohito Sugino,ESFP,15
89,Nendou Riki,ESFP,16
90,Toritsuka Reita,ESFP,16
91,Aiura Mikoto,ESFP,16
92,Midari Ikishima,ESFP,17
93,Kagura Sohma,ESFP,18
94,Ayame Sohma,ESFP,18
95,Sayaka Miki,ESFP,19
96,Nagisa Momoe,ESFP,19
97,Goku,ESFP,20
98,Majin Buu,ESFP,20
99,Shuu Tsukiyama,ESFP,22
100,Kou,ESFP,24
101,Tsukasa,ESFP,24
102,Power,ESFP,27
103,Beam,ESFP,27
104,Renji Abarai,ESFP,29
105,Charizard,ESFP,30
106,Witch of the Waste,ESFP,33
107,Markl,ESFP,33
108,Taiju Oki,ESFP,36
109,Minako Aino (Sailor Venus),ESFP,37
110,Shorter Wong,ESFP,42
111,Natsu Dragneel,ESFP,47
112,America,ESFP,48
113,France,ESFP,48
114,Madara Uchiha,ENTJ,0
115,Erwin Smith,ENTJ,2
116,Biscuit Krueger “Bisky”,ENTJ,3
117,Light Yagami,ENTJ,4
118,Ryomen Sukuna,ENTJ,8
119,Dio Brando,ENTJ,9
120,Asuka Langley Soryu,ENTJ,12
121,Miya Chinen,ENTJ,14
122,Gakushū Asano,ENTJ,15
123,Saiki Kusuke,ENTJ,16
124,Kirari Momobami,ENTJ,17
125,Kyubey,ENTJ,19
126,Junko Kaname,ENTJ,19
127,Frieza,ENTJ,20
128,Schneizel el Britannia,ENTJ,21
129,Griffith,ENTJ,23
130,Roy Mustang,ENTJ,25
131,Miyuki Shirogane,ENTJ,26
132,Madame Suliman,ENTJ,33
133,Tsukasa Shishio,ENTJ,36
134,Rei Hino (Sailor Mars),ENTJ,37
135,Roswaal L. Mathers,ENTJ,38
136,Louis,ENTJ,39
137,Dino Golzine,ENTJ,42
138,Laxus Dreyar,ENTJ,47
139,Guren Ichinose,ENTJ,49
140,Orochimaru,ENTP,0
141,Hange Zoë,ENTP,2
142,Hisoka Morow,ENTP,3
143,Neferpitou,ENTP,3
144,Ryuk,ENTP,4
145,Osamu Dazai,ENTP,6
146,Satoru Gojo,ENTP,8
147,Panda,ENTP,8
148,Tetsurou Kuroo,ENTP,10
149,Phil,ENTP,11
150,Krone,ENTP,11
151,Kaji Ryoji,ENTP,12
152,Kensuke Aida,ENTP,12
153,Usopp,ENTP,13
154,Karma Akabane,ENTP,15
155,Koro-sensei,ENTP,15
156,Ritsu,ENTP,15
157,Akechi Touma,ENTP,16
158,Shigure Sohma,ENTP,18
159,Trunks,ENTP,20
160,Cell,ENTP,20
161,Lloyd Asplund,ENTP,21
162,Rize Kamishiro,ENTP,22
163,Hanako,ENTP,24
164,Edward Elric,ENTP,25
165,Reze,ENTP,27
166,Himeno,ENTP,27
167,Fukube Satoshi,ENTP,28
168,Gengar,ENTP,30
169,Calcifer,ENTP,33
170,Najimi Osana,ENTP,34
171,Aru Akise,ENTP,35
172,Gen Asagiri,ENTP,36
173,Echidna,ENTP,38
174,Sherlock Holmes,ENTP,43
175,Reigen Arataka,ENTP,46
176,Shinoa Hiiragi,ENTP,49
177,Ferid Bathory,ENTP,49
178,Minato Namikaze,ENFJ,0
179,Shisui Uchiha,ENFJ,0
180,"Toshinori Yagi ""All Might""",ENFJ,1
181,Tanjiro Kamado,ENFJ,5
182,Kyojuro Rengoku,ENFJ,5
183,Tooru Oikawa,ENFJ,10
184,Daichi Sawamura,ENFJ,10
185,Emma,ENFJ,11
186,Isabella,ENFJ,11
187,Sanji,ENFJ,13
188,Shanks,ENFJ,13
189,Teruhashi Kokomi,ENFJ,16
190,Itsuki Sumeragi,ENFJ,17
191,Mami Tomoe,ENFJ,19
192,Akane Aoi,ENFJ,24
193,Ling Yao,ENFJ,25
194,Maes Hughes,ENFJ,25
195,Tsubame Koyasu,ENFJ,26
196,Makima,ENFJ,27
197,Pochita,ENFJ,27
198,Nina Fortner,ENFJ,31
199,Hitohito Tadano,ENFJ,34
200,Puck,ENFJ,38
201,Juno,ENFJ,39
202,Honami Ichinose,ENFJ,40
203,Tamaki Suoh,ENFJ,44
204,Goro,ENFJ,45
205,Teruki Hanazawa,ENFJ,46
206,Lucy Heartfilia,ENFJ,47
